,ATM,Latitud,Longitud,Tipo dispositivo,ETV
1,4,24.807033,-107.394186,DISPENSADOR,SEPSA
2,5,19.54931091,-99.0170746,DISPENSADOR,SEPSA
3,6,21.3413519,-97.681943,DISPENSADOR,SEPSA
4,7,22.1497818,-101.0004916,DISPENSADOR,SEPSA
6,9,19.81799492,-97.36094913,DISPENSADOR,SEPSA
7,10,19.4601172,-99.1748712,DISPENSADOR,SEPSA
8,11,32.5318,-116.0826429,DISPENSADOR,SEPSA
9,12,19.4479406,-99.1808453,DISPENSADOR,SEPSA
12,16,19.3986774,-99.1674761,DISPENSADOR,SEPSA
14,19,23.732404,-99.1439387,DISPENSADOR,SEPSA
17,23,19.3782188,-99.2772888,DISPENSADOR,SEPSA
20,28,19.4697591,-99.227485,DISPENSADOR,SEPSA
25,33,18.7950959,-96.7064409,DISPENSADOR,SEPSA
26,35,18.4285028,-97.4083958,DISPENSADOR,SEPSA
32,41,19.4917802,-99.1897216,DISPENSADOR,SEPSA
33,42,32.5098133,-116.9750827,DISPENSADOR,SEPSA
34,43,19.295141,-99.575515,DISPENSADOR,SEPSA
35,44,18.0008394,-94.6075948,DISPENSADOR,SEPSA
38,47,19.8620639,-99.2877931,DISPENSADOR,SEPSA
40,49,20.5594846,-103.3647756,DISPENSADOR,SEPSA
41,50,17.99546991,-94.54058689,DISPENSADOR,SEPSA
42,51,20.0530764,-99.2297015,DISPENSADOR,SEPSA
45,54,19.1976815,-99.1478844,DISPENSADOR,SEPSA
46,55,19.2958236,-99.1459565,DISPENSADOR,SEPSA
48,57,19.2894475,-99.1378973,DISPENSADOR,SEPSA
51,61,19.289042,-99.610243,DISPENSADOR,SEPSA
52,62,20.62532975,-87.0846731,DISPENSADOR,SEPSA
53,63,19.3779401,-99.1482732,DISPENSADOR,SEPSA
54,64,31.65873619,-106.3602214,DISPENSADOR,SEPSA
56,66,19.33302692,-99.20165414,DISPENSADOR,SEPSA
59,69,18.820017,-99.19054,DISPENSADOR,SEPSA
62,72,19.657706,-99.209111,DISPENSADOR,SEPSA
63,73,18.5562108,-97.5650218,DISPENSADOR,SEPSA
64,74,19.313034,-98.8970798,DISPENSADOR,SEPSA
68,78,19.39549,-99.17219,DISPENSADOR,SEPSA
72,82,21.5007956,-104.8977321,DISPENSADOR,SEPSA
92,102,18.3716458,-95.7484341,DISPENSADOR,SEPSA
95,106,20.5039734,-100.1468862,DISPENSADOR,SEPSA
99,110,19.3528129,-99.1861413,DISPENSADOR,SEPSA
100,111,19.59821,-99.0502416,DISPENSADOR,SEPSA
106,118,18.8574323,-97.0661413,DISPENSADOR,SEPSA
109,121,20.9003161,-101.388956,DISPENSADOR,SEPSA
112,124,32.6429938,-115.4511252,DISPENSADOR,SEPSA
115,127,28.692929,-100.5470163,DISPENSADOR,SEPSA
117,129,21.9433915,-100.0130609,DISPENSADOR,SEPSA
118,130,19.33561614,-99.20664756,DISPENSADOR,SEPSA
124,136,19.115964,-100.296861,PRACTDUAL,SEPSA
128,140,27.4909023,-109.9676198,DISPENSADOR,SEPSA
129,142,18.9832206,-97.6994546,DISPENSADOR,SEPSA
130,143,25.6732999,-100.2031104,DISPENSADOR,SEPSA
131,144,23.78381199,-99.16599874,DISPENSADOR,SEPSA
132,145,19.4230537,-99.0860284,DISPENSADOR,SEPSA
133,146,19.8217807,-98.9722584,DISPENSADOR,SEPSA
135,148,19.4381205,-99.0794547,DISPENSADOR,SEPSA
137,150,19.4381205,-99.0794547,DISPENSADOR,SEPSA
139,152,19.6821714,-101.1796091,DISPENSADOR,SEPSA
140,153,32.4072655,-115.202247,DISPENSADOR,SEPSA
142,155,19.3860971,-99.2557051,DISPENSADOR,SEPSA
143,156,19.4381205,-99.0794547,DISPENSADOR,SEPSA
144,157,19.9728915,-99.5276487,DISPENSADOR,SEPSA
145,158,19.4381205,-99.0794547,DISPENSADOR,SEPSA
147,160,19.609838,-99.051129,DISPENSADOR,SEPSA
149,162,21.943368,-100.0125738,DISPENSADOR,SEPSA
150,163,20.9609398,-89.658632,DISPENSADOR,SEPSA
152,165,19.369652,-99.080825,DISPENSADOR,SEPSA
155,168,22.395847,-97.936768,DISPENSADOR,SEPSA
156,169,21.2357634,-86.8039558,DISPENSADOR,SEPSA
157,170,22.7358632,-98.9650771,DISPENSADOR,SEPSA
158,171,19.205305,-98.419909,DISPENSADOR,SEPSA
161,174,23.7112962,-99.167062,DISPENSADOR,SEPSA
163,176,17.0027142,-100.0837703,DISPENSADOR,SEPSA
165,178,25.4275418,-101.0093525,DISPENSADOR,SEPSA
172,185,19.0196838,-98.1984026,DISPENSADOR,SEPSA
177,190,25.62623684,-100.2749464,DISPENSADOR,SEPSA
179,192,25.790286,-100.434752,DISPENSADOR,SEPSA
182,195,19.2564456,-99.6142885,DISPENSADOR,SEPSA
183,196,18.5997348,-96.6793043,DISPENSADOR,SEPSA
