,ATM,Latitud,Longitud,Tipo dispositivo,ETV
0,2,19.388584,-99.2479053,DISPENSADOR,APODERADO
5,8,19.3838245,-99.0685271,PRACTDUAL,APODERADO
10,14,19.261735,-99.104917,DISPENSADOR,APODERADO
11,15,19.43582612,-99.18815405,PRACTDUAL,APODERADO
13,18,19.2917326,-99.124906,DISPENSADOR,APODERADO
15,20,19.467957,-99.1449667,DISPENSADOR,APODERADO
16,21,19.4701693,-99.1317148,PRACTDUAL,APODERADO
18,26,19.261735,-99.104917,DISPENSADOR,APODERADO
19,27,19.467957,-99.1449667,DISPENSADOR,APODERADO
21,29,23.6539806,-100.6239877,DISPENSADOR,APODERADO
22,30,23.6539806,-100.6239877,DISPENSADOR,APODERADO
23,31,23.2342114,-106.4231804,DISPENSADOR,APODERADO
24,32,23.2342114,-106.4231804,DISPENSADOR,APODERADO
27,36,16.4341995,-95.0219309,DISPENSADOR,APODERADO
28,37,19.291022,-99.661749,DISPENSADOR,APODERADO
29,38,20.7238391,-103.4552581,DISPENSADOR,APODERADO
30,39,31.7425671,-106.4854467,DISPENSADOR,APODERADO
31,40,20.7238391,-103.4552581,DISPENSADOR,APODERADO
36,45,31.7425671,-106.4854467,DISPENSADOR,APODERADO
37,46,19.380356,-99.1411184,DISPENSADOR,APODERADO
39,48,19.291022,-99.661749,DISPENSADOR,APODERADO
43,52,19.360034,-99.351897,DISPENSADOR,APODERADO
44,53,31.7425671,-106.4854467,DISPENSADOR,APODERADO
47,56,31.7425671,-106.4854467,DISPENSADOR,APODERADO
49,58,19.7665543,-97.2454267,DISPENSADOR,APODERADO
50,60,31.7425671,-106.4854467,DISPENSADOR,APODERADO
55,65,16.4341995,-95.0219309,DISPENSADOR,APODERADO
57,67,27.4613212,-99.5112071,DISPENSADOR,APODERADO
58,68,17.9745616,-92.9274171,DISPENSADOR,APODERADO
60,70,20.673785,-103.383002,DISPENSADOR,APODERADO
61,71,19.56226397,-99.2441124,PRACTDUAL,APODERADO
65,75,16.4341995,-95.0219309,DISPENSADOR,APODERADO
66,76,19.267547,-99.626711,DISPENSADOR,APODERADO
67,77,20.7098455,-103.3607206,DISPENSADOR,APODERADO
69,79,25.782965,-100.236071,DISPENSADOR,APODERADO
70,80,21.1308503,-101.7053394,DISPENSADOR,APODERADO
71,81,25.6644021,-100.3835779,DISPENSADOR,APODERADO
73,83,14.8924772,-92.2721663,DISPENSADOR,APODERADO
74,84,19.3600234,-99.3518959,DISPENSADOR,APODERADO
75,85,19.267547,-99.626711,DISPENSADOR,APODERADO
76,86,17.94932257,-94.91413758,DISPENSADOR,APODERADO
77,87,17.94932257,-94.91413758,DISPENSADOR,APODERADO
78,88,14.8924772,-92.2721663,DISPENSADOR,APODERADO
79,89,21.2466361,-102.3351788,DISPENSADOR,APODERADO
80,90,19.377239,-99.254516,DISPENSADOR,APODERADO
81,91,16.4341995,-95.0219309,DISPENSADOR,APODERADO
82,92,19.377239,-99.254516,DISPENSADOR,APODERADO
83,93,17.94932257,-94.91413758,DISPENSADOR,APODERADO
84,94,20.3509613,-102.7732037,DISPENSADOR,APODERADO
85,95,19.3600234,-99.3518959,DISPENSADOR,APODERADO
86,96,17.9745616,-92.9274171,DISPENSADOR,APODERADO
87,97,25.476746,-100.976786,DISPENSADOR,APODERADO
88,98,19.422983,-99.174976,DISPENSADOR,APODERADO
89,99,19.678727,-101.22052,DISPENSADOR,APODERADO
90,100,19.380356,-99.1411184,DISPENSADOR,APODERADO
91,101,20.3509613,-102.7732037,DISPENSADOR,APODERADO
93,104,16.4341995,-95.0219309,DISPENSADOR,APODERADO
94,105,20.3509613,-102.7732037,DISPENSADOR,APODERADO
96,107,17.9745616,-92.9274171,DISPENSADOR,APODERADO
97,108,32.5608041,-116.6471177,DISPENSADOR,APODERADO
98,109,26.010715,-111.342222,DISPENSADOR,APODERADO
101,112,19.43814353,-99.19020733,DISPENSADOR,APODERADO
102,113,19.53964754,-99.20906268,DISPENSADOR,APODERADO
103,114,21.132276,-101.658529,DISPENSADOR,APODERADO
104,116,21.132276,-101.658529,DISPENSADOR,APODERADO
105,117,20.377987,-101.0648556,DISPENSADOR,APODERADO
107,119,19.56226397,-99.2441124,PRACTDUAL,APODERADO
108,120,19.377239,-99.254516,DISPENSADOR,APODERADO
110,122,19.5507228,-99.2096359,DISPENSADOR,APODERADO
111,123,20.3509613,-102.7732037,DISPENSADOR,APODERADO
113,125,19.377239,-99.254516,PRACTDUAL,APODERADO
114,126,19.377239,-99.254516,PRACTDUAL,APODERADO
116,128,25.476746,-100.976786,DISPENSADOR,APODERADO
119,131,19.349925,-99.073524,DISPENSADOR,APODERADO
120,132,19.397129,-99.122923,DISPENSADOR,APODERADO
121,133,19.377239,-99.254516,PRACTDUAL,APODERADO
122,134,19.4410862,-99.0929879,PRACTDUAL,APODERADO
123,135,19.372805,-99.140557,DISPENSADOR,APODERADO
125,137,18.4473833,-95.2131906,DISPENSADOR,APODERADO
126,138,18.4473833,-95.2131906,DISPENSADOR,APODERADO
127,139,19.429702,-99.153698,DISPENSADOR,APODERADO
134,147,20.377987,-101.0648556,DISPENSADOR,APODERADO
136,149,21.351509,-98.2241816,DISPENSADOR,APODERADO
138,151,19.67371868,-99.20611923,DISPENSADOR,APODERADO
141,154,19.429702,-99.153698,PRACTDUAL,APODERADO
146,159,19.3054739,-99.2355293,DISPENSADOR,APODERADO
148,161,19.405159,-99.239452,DISPENSADOR,APODERADO
151,164,19.467957,-99.1449667,PRACTDUAL,APODERADO
153,166,21.80076,-100.736033,DISPENSADOR,APODERADO
154,167,20.6267917,-100.4066265,DISPENSADOR,APODERADO
159,172,20.6267917,-100.4066265,DISPENSADOR,APODERADO
160,173,20.6267917,-100.4066265,DISPENSADOR,APODERADO
162,175,24.859892,-99.567347,DISPENSADOR,APODERADO
164,177,25.7015439,-100.3084542,DISPENSADOR,APODERADO
166,179,19.395181,-99.143499,DISPENSADOR,APODERADO
167,180,21.2374381,-104.9007959,DISPENSADOR,APODERADO
168,181,19.401714,-99.09865,DISPENSADOR,APODERADO
169,182,19.40171052,-99.09864612,DISPENSADOR,APODERADO
170,183,21.2374381,-104.9007959,DISPENSADOR,APODERADO
171,184,17.880565,-92.483365,PRACTDUAL,APODERADO
173,186,19.5062711,-98.8846176,DISPENSADOR,APODERADO
174,187,30.7119166,-112.1518251,DISPENSADOR,APODERADO
175,188,19.252798,-99.59399,DISPENSADOR,APODERADO
176,189,19.252798,-99.59399,DISPENSADOR,APODERADO
178,191,30.7119166,-112.1518251,DISPENSADOR,APODERADO
180,193,25.667916,-100.312078,DISPENSADOR,APODERADO
181,194,20.0333426,-100.7198483,PRACTDUAL,APODERADO
184,197,30.7119166,-112.1518251,DISPENSADOR,APODERADO
185,198,19.4341493,-99.142048,DISPENSADOR,APODERADO
186,199,19.4341493,-99.142048,DISPENSADOR,APODERADO
187,200,29.1113957,-110.991877,DISPENSADOR,APODERADO
188,201,19.441201,-99.09303,DISPENSADOR,APODERADO
