,ATM,Latitud,Longitud,Tipo dispositivo,ETV
0,2,19.388584,-99.2479053,DISPENSADOR,APODERADO
1,4,24.807033,-107.394186,DISPENSADOR,SEPSA
2,5,19.54931091,-99.0170746,DISPENSADOR,SEPSA
3,6,21.3413519,-97.681943,DISPENSADOR,SEPSA
4,7,22.1497818,-101.0004916,DISPENSADOR,SEPSA
6,9,19.81799492,-97.36094913,DISPENSADOR,SEPSA
7,10,19.4601172,-99.1748712,DISPENSADOR,SEPSA
8,11,32.5318,-116.0826429,DISPENSADOR,SEPSA
9,12,19.4479406,-99.1808453,DISPENSADOR,SEPSA
10,14,19.261735,-99.104917,DISPENSADOR,APODERADO
12,16,19.3986774,-99.1674761,DISPENSADOR,SEPSA
13,18,19.2917326,-99.124906,DISPENSADOR,APODERADO
14,19,23.732404,-99.1439387,DISPENSADOR,SEPSA
15,20,19.467957,-99.1449667,DISPENSADOR,APODERADO
17,23,19.3782188,-99.2772888,DISPENSADOR,SEPSA
18,26,19.261735,-99.104917,DISPENSADOR,APODERADO
19,27,19.467957,-99.1449667,DISPENSADOR,APODERADO
20,28,19.4697591,-99.227485,DISPENSADOR,SEPSA
21,29,23.6539806,-100.6239877,DISPENSADOR,APODERADO
22,30,23.6539806,-100.6239877,DISPENSADOR,APODERADO
23,31,23.2342114,-106.4231804,DISPENSADOR,APODERADO
24,32,23.2342114,-106.4231804,DISPENSADOR,APODERADO
25,33,18.7950959,-96.7064409,DISPENSADOR,SEPSA
26,35,18.4285028,-97.4083958,DISPENSADOR,SEPSA
27,36,16.4341995,-95.0219309,DISPENSADOR,APODERADO
28,37,19.291022,-99.661749,DISPENSADOR,APODERADO
29,38,20.7238391,-103.4552581,DISPENSADOR,APODERADO
30,39,31.7425671,-106.4854467,DISPENSADOR,APODERADO
31,40,20.7238391,-103.4552581,DISPENSADOR,APODERADO
32,41,19.4917802,-99.1897216,DISPENSADOR,SEPSA
33,42,32.5098133,-116.9750827,DISPENSADOR,SEPSA
34,43,19.295141,-99.575515,DISPENSADOR,SEPSA
35,44,18.0008394,-94.6075948,DISPENSADOR,SEPSA
36,45,31.7425671,-106.4854467,DISPENSADOR,APODERADO
37,46,19.380356,-99.1411184,DISPENSADOR,APODERADO
38,47,19.8620639,-99.2877931,DISPENSADOR,SEPSA
39,48,19.291022,-99.661749,DISPENSADOR,APODERADO
40,49,20.5594846,-103.3647756,DISPENSADOR,SEPSA
41,50,17.99546991,-94.54058689,DISPENSADOR,SEPSA
42,51,20.0530764,-99.2297015,DISPENSADOR,SEPSA
43,52,19.360034,-99.351897,DISPENSADOR,APODERADO
44,53,31.7425671,-106.4854467,DISPENSADOR,APODERADO
45,54,19.1976815,-99.1478844,DISPENSADOR,SEPSA
46,55,19.2958236,-99.1459565,DISPENSADOR,SEPSA
47,56,31.7425671,-106.4854467,DISPENSADOR,APODERADO
48,57,19.2894475,-99.1378973,DISPENSADOR,SEPSA
49,58,19.7665543,-97.2454267,DISPENSADOR,APODERADO
50,60,31.7425671,-106.4854467,DISPENSADOR,APODERADO
51,61,19.289042,-99.610243,DISPENSADOR,SEPSA
52,62,20.62532975,-87.0846731,DISPENSADOR,SEPSA
53,63,19.3779401,-99.1482732,DISPENSADOR,SEPSA
54,64,31.65873619,-106.3602214,DISPENSADOR,SEPSA
55,65,16.4341995,-95.0219309,DISPENSADOR,APODERADO
56,66,19.33302692,-99.20165414,DISPENSADOR,SEPSA
57,67,27.4613212,-99.5112071,DISPENSADOR,APODERADO
58,68,17.9745616,-92.9274171,DISPENSADOR,APODERADO
59,69,18.820017,-99.19054,DISPENSADOR,SEPSA
60,70,20.673785,-103.383002,DISPENSADOR,APODERADO
62,72,19.657706,-99.209111,DISPENSADOR,SEPSA
63,73,18.5562108,-97.5650218,DISPENSADOR,SEPSA
64,74,19.313034,-98.8970798,DISPENSADOR,SEPSA
65,75,16.4341995,-95.0219309,DISPENSADOR,APODERADO
66,76,19.267547,-99.626711,DISPENSADOR,APODERADO
67,77,20.7098455,-103.3607206,DISPENSADOR,APODERADO
68,78,19.39549,-99.17219,DISPENSADOR,SEPSA
69,79,25.782965,-100.236071,DISPENSADOR,APODERADO
70,80,21.1308503,-101.7053394,DISPENSADOR,APODERADO
71,81,25.6644021,-100.3835779,DISPENSADOR,APODERADO
72,82,21.5007956,-104.8977321,DISPENSADOR,SEPSA
73,83,14.8924772,-92.2721663,DISPENSADOR,APODERADO
74,84,19.3600234,-99.3518959,DISPENSADOR,APODERADO
75,85,19.267547,-99.626711,DISPENSADOR,APODERADO
76,86,17.94932257,-94.91413758,DISPENSADOR,APODERADO
77,87,17.94932257,-94.91413758,DISPENSADOR,APODERADO
78,88,14.8924772,-92.2721663,DISPENSADOR,APODERADO
79,89,21.2466361,-102.3351788,DISPENSADOR,APODERADO
80,90,19.377239,-99.254516,DISPENSADOR,APODERADO
81,91,16.4341995,-95.0219309,DISPENSADOR,APODERADO
82,92,19.377239,-99.254516,DISPENSADOR,APODERADO
83,93,17.94932257,-94.91413758,DISPENSADOR,APODERADO
84,94,20.3509613,-102.7732037,DISPENSADOR,APODERADO
85,95,19.3600234,-99.3518959,DISPENSADOR,APODERADO
86,96,17.9745616,-92.9274171,DISPENSADOR,APODERADO
87,97,25.476746,-100.976786,DISPENSADOR,APODERADO
88,98,19.422983,-99.174976,DISPENSADOR,APODERADO
89,99,19.678727,-101.22052,DISPENSADOR,APODERADO
90,100,19.380356,-99.1411184,DISPENSADOR,APODERADO
91,101,20.3509613,-102.7732037,DISPENSADOR,APODERADO
92,102,18.3716458,-95.7484341,DISPENSADOR,SEPSA
93,104,16.4341995,-95.0219309,DISPENSADOR,APODERADO
94,105,20.3509613,-102.7732037,DISPENSADOR,APODERADO
95,106,20.5039734,-100.1468862,DISPENSADOR,SEPSA
96,107,17.9745616,-92.9274171,DISPENSADOR,APODERADO
97,108,32.5608041,-116.6471177,DISPENSADOR,APODERADO
98,109,26.010715,-111.342222,DISPENSADOR,APODERADO
99,110,19.3528129,-99.1861413,DISPENSADOR,SEPSA
100,111,19.59821,-99.0502416,DISPENSADOR,SEPSA
101,112,19.43814353,-99.19020733,DISPENSADOR,APODERADO
102,113,19.53964754,-99.20906268,DISPENSADOR,APODERADO
103,114,21.132276,-101.658529,DISPENSADOR,APODERADO
104,116,21.132276,-101.658529,DISPENSADOR,APODERADO
105,117,20.377987,-101.0648556,DISPENSADOR,APODERADO
106,118,18.8574323,-97.0661413,DISPENSADOR,SEPSA
108,120,19.377239,-99.254516,DISPENSADOR,APODERADO
109,121,20.9003161,-101.388956,DISPENSADOR,SEPSA
110,122,19.5507228,-99.2096359,DISPENSADOR,APODERADO
111,123,20.3509613,-102.7732037,DISPENSADOR,APODERADO
112,124,32.6429938,-115.4511252,DISPENSADOR,SEPSA
115,127,28.692929,-100.5470163,DISPENSADOR,SEPSA
116,128,25.476746,-100.976786,DISPENSADOR,APODERADO
117,129,21.9433915,-100.0130609,DISPENSADOR,SEPSA
118,130,19.33561614,-99.20664756,DISPENSADOR,SEPSA
119,131,19.349925,-99.073524,DISPENSADOR,APODERADO
120,132,19.397129,-99.122923,DISPENSADOR,APODERADO
123,135,19.372805,-99.140557,DISPENSADOR,APODERADO
125,137,18.4473833,-95.2131906,DISPENSADOR,APODERADO
126,138,18.4473833,-95.2131906,DISPENSADOR,APODERADO
127,139,19.429702,-99.153698,DISPENSADOR,APODERADO
128,140,27.4909023,-109.9676198,DISPENSADOR,SEPSA
129,142,18.9832206,-97.6994546,DISPENSADOR,SEPSA
130,143,25.6732999,-100.2031104,DISPENSADOR,SEPSA
131,144,23.78381199,-99.16599874,DISPENSADOR,SEPSA
132,145,19.4230537,-99.0860284,DISPENSADOR,SEPSA
133,146,19.8217807,-98.9722584,DISPENSADOR,SEPSA
134,147,20.377987,-101.0648556,DISPENSADOR,APODERADO
135,148,19.4381205,-99.0794547,DISPENSADOR,SEPSA
136,149,21.351509,-98.2241816,DISPENSADOR,APODERADO
137,150,19.4381205,-99.0794547,DISPENSADOR,SEPSA
138,151,19.67371868,-99.20611923,DISPENSADOR,APODERADO
139,152,19.6821714,-101.1796091,DISPENSADOR,SEPSA
140,153,32.4072655,-115.202247,DISPENSADOR,SEPSA
142,155,19.3860971,-99.2557051,DISPENSADOR,SEPSA
143,156,19.4381205,-99.0794547,DISPENSADOR,SEPSA
144,157,19.9728915,-99.5276487,DISPENSADOR,SEPSA
145,158,19.4381205,-99.0794547,DISPENSADOR,SEPSA
146,159,19.3054739,-99.2355293,DISPENSADOR,APODERADO
147,160,19.609838,-99.051129,DISPENSADOR,SEPSA
148,161,19.405159,-99.239452,DISPENSADOR,APODERADO
149,162,21.943368,-100.0125738,DISPENSADOR,SEPSA
150,163,20.9609398,-89.658632,DISPENSADOR,SEPSA
152,165,19.369652,-99.080825,DISPENSADOR,SEPSA
153,166,21.80076,-100.736033,DISPENSADOR,APODERADO
154,167,20.6267917,-100.4066265,DISPENSADOR,APODERADO
155,168,22.395847,-97.936768,DISPENSADOR,SEPSA
156,169,21.2357634,-86.8039558,DISPENSADOR,SEPSA
157,170,22.7358632,-98.9650771,DISPENSADOR,SEPSA
158,171,19.205305,-98.419909,DISPENSADOR,SEPSA
159,172,20.6267917,-100.4066265,DISPENSADOR,APODERADO
160,173,20.6267917,-100.4066265,DISPENSADOR,APODERADO
161,174,23.7112962,-99.167062,DISPENSADOR,SEPSA
162,175,24.859892,-99.567347,DISPENSADOR,APODERADO
163,176,17.0027142,-100.0837703,DISPENSADOR,SEPSA
164,177,25.7015439,-100.3084542,DISPENSADOR,APODERADO
165,178,25.4275418,-101.0093525,DISPENSADOR,SEPSA
166,179,19.395181,-99.143499,DISPENSADOR,APODERADO
167,180,21.2374381,-104.9007959,DISPENSADOR,APODERADO
168,181,19.401714,-99.09865,DISPENSADOR,APODERADO
169,182,19.40171052,-99.09864612,DISPENSADOR,APODERADO
170,183,21.2374381,-104.9007959,DISPENSADOR,APODERADO
172,185,19.0196838,-98.1984026,DISPENSADOR,SEPSA
173,186,19.5062711,-98.8846176,DISPENSADOR,APODERADO
174,187,30.7119166,-112.1518251,DISPENSADOR,APODERADO
175,188,19.252798,-99.59399,DISPENSADOR,APODERADO
176,189,19.252798,-99.59399,DISPENSADOR,APODERADO
177,190,25.62623684,-100.2749464,DISPENSADOR,SEPSA
178,191,30.7119166,-112.1518251,DISPENSADOR,APODERADO
179,192,25.790286,-100.434752,DISPENSADOR,SEPSA
180,193,25.667916,-100.312078,DISPENSADOR,APODERADO
182,195,19.2564456,-99.6142885,DISPENSADOR,SEPSA
183,196,18.5997348,-96.6793043,DISPENSADOR,SEPSA
184,197,30.7119166,-112.1518251,DISPENSADOR,APODERADO
185,198,19.4341493,-99.142048,DISPENSADOR,APODERADO
186,199,19.4341493,-99.142048,DISPENSADOR,APODERADO
187,200,29.1113957,-110.991877,DISPENSADOR,APODERADO
188,201,19.441201,-99.09303,DISPENSADOR,APODERADO
189,202,21.351509,-98.2241816,DISPENSADOR,APODERADO
190,203,22.1125641,-100.9092223,DISPENSADOR,SEPSA
193,206,18.1833742,-91.0463509,DISPENSADOR,SEPSA
194,207,19.289986,-99.622545,DISPENSADOR,APODERADO
197,210,24.79814,-107.4083667,DISPENSADOR,SEPSA
198,211,29.1113957,-110.991877,DISPENSADOR,APODERADO
199,212,19.3348366,-99.1464303,DISPENSADOR,APODERADO
200,213,19.5507228,-99.2096359,DISPENSADOR,APODERADO
201,214,19.3348366,-99.1464303,DISPENSADOR,APODERADO
202,215,29.1113957,-110.991877,DISPENSADOR,APODERADO
203,216,22.131781,-100.924809,DISPENSADOR,APODERADO
204,217,17.978739,-92.941387,DISPENSADOR,APODERADO
205,218,19.5507228,-99.2096359,DISPENSADOR,APODERADO
206,219,18.370991,-95.74241,DISPENSADOR,SEPSA
207,220,29.1113957,-110.991877,DISPENSADOR,APODERADO
208,221,17.978739,-92.941387,DISPENSADOR,APODERADO
209,222,19.289986,-99.622545,DISPENSADOR,APODERADO
210,223,20.9167446,-89.7041557,DISPENSADOR,APODERADO
211,224,29.1113957,-110.991877,DISPENSADOR,APODERADO
212,225,25.04132024,-105.4194518,DISPENSADOR,APODERADO
213,226,20.6596988,-103.3496092,DISPENSADOR,SEPSA
214,227,17.566289,-99.398154,DISPENSADOR,APODERADO
215,228,17.566289,-99.398154,DISPENSADOR,APODERADO
216,230,20.9167446,-89.7041557,DISPENSADOR,APODERADO
217,231,25.782975,-100.053067,DISPENSADOR,APODERADO
218,232,20.3020877,-89.4183529,DISPENSADOR,SEPSA
219,233,19.2678909,-99.6465136,DISPENSADOR,APODERADO
220,234,20.645595,-105.219516,DISPENSADOR,APODERADO
221,235,19.201272,-96.139859,DISPENSADOR,APODERADO
222,238,19.2678909,-99.6465136,DISPENSADOR,APODERADO
223,239,20.615568,-100.398132,DISPENSADOR,SEPSA
224,240,19.3382657,-99.1842497,DISPENSADOR,APODERADO
225,241,19.704184,-103.463901,DISPENSADOR,APODERADO
228,244,19.910153,-102.008015,DISPENSADOR,APODERADO
229,245,19.3382657,-99.1842497,DISPENSADOR,APODERADO
230,246,20.1233101,-98.7367608,DISPENSADOR,SEPSA
232,248,24.79814,-107.4083667,DISPENSADOR,SEPSA
233,249,19.402511,-99.155408,DISPENSADOR,APODERADO
234,250,26.073683,-98.3720637,DISPENSADOR,SEPSA
235,251,25.5501954,-103.426393,DISPENSADOR,SEPSA
236,252,19.1564482,-96.1121639,DISPENSADOR,SEPSA
237,253,19.771738,-104.366285,DISPENSADOR,APODERADO
238,254,26.073683,-98.3720637,DISPENSADOR,SEPSA
239,255,19.771738,-104.366285,DISPENSADOR,APODERADO
242,258,14.6796279,-92.1525959,DISPENSADOR,SEPSA
243,259,19.771738,-104.366285,DISPENSADOR,APODERADO
244,260,19.28954879,-99.55421476,DISPENSADOR,APODERADO
246,262,20.2813065,-102.5594912,DISPENSADOR,APODERADO
248,264,20.2813065,-102.5594912,DISPENSADOR,APODERADO
