ATM_ID,DURACION,Latitud,Longitud
9646,0.9950000000000001,20.630645,-103.266551
9230,0.995,25.705948,-100.339
5759,0.995,17.661394,-101.60099
C533,0.995,20.605663,-100.431247
8882,0.995,20.779709,-103.869584
C549,0.9949999999999999,20.674717,-103.368281
5067,0.99,31.8683325,-116.6136895
2475,0.99,19.455145,-99.157384
5169,0.99,22.150264,-100.958032
5996,0.99,19.6351746,-99.1015222
D693,0.9850000000000001,22.264465,-97.86002
1272,0.9850000000000001,19.31767663,-98.22171468
C798,0.98,25.66906,-100.24465
7637,0.98,19.8924246,-100.4430161
E981,0.98,19.315547,-99.241426
5268,0.98,19.377239,-99.254516
4384,0.98,19.65586,-96.872946
D226,0.98,28.658508,-106.102062
8133,0.98,25.661024,-100.15077
9237,0.98,26.005355,-98.266595
4406,0.98,32.530116,-117.025337
B526,0.98,19.4126,-99.1658
3171,0.98,23.7593354,-99.1400122
2402,0.98,19.320377,-99.084449
C656,0.98,19.418734,-99.267189
3225,0.98,24.5918469,-107.4118063
5339,0.98,19.8152,-90.5869
D579,0.98,16.75371368,-93.14957857
7132,0.98,19.610725,-99.228291
6404,0.98,19.567309,-99.766385
110,0.98,19.3528129,-99.1861413
4683,0.9750000000000001,19.2896341,-99.6550857
61,0.9750000000000001,19.289042,-99.610243
4480,0.9750000000000001,25.763381,-100.19055
8891,0.9750000000000001,25.524692,-103.445543
5891,0.975,19.0516393,-98.0909942
D255,0.975,19.649333,-99.198075
4828,0.975,20.467222,-102.135583
6550,0.97,22.901267,-109.928345
7329,0.97,22.187447,-100.938546
6402,0.97,19.567309,-99.766385
1536,0.97,19.29272,-99.633931
D652,0.97,20.62966,-103.416546
E915,0.97,20.5196355,-100.797961
8441,0.97,25.451384,-101.015297
1638,0.97,19.3542997,-99.1995104
8514,0.97,19.283473,-99.498268
E509,0.97,32.5128132,-116.8771847
5641,0.97,20.6840316,-103.3687559
7343,0.97,20.94765079,-97.38582928
6803,0.97,20.2177,-87.4365
3549,0.97,17.987373,-93.383491
C215,0.97,20.640684,-103.278591
3226,0.97,30.52787,-115.931464
6892,0.97,21.298035,-100.514108
6792,0.97,19.553122,-99.290796
D618,0.9650000000000001,19.678727,-101.22052
5336,0.9650000000000001,19.606056,-99.046858
2879,0.9650000000000001,19.67017593,-99.18091548
3379,0.9650000000000001,16.7204139,-92.6420784
7435,0.965,20.579948,-103.449076
D059,0.965,19.423695,-99.135795
7761,0.965,19.27583,-99.593876
C017,0.96,22.3124377,-97.8795476
7977,0.96,19.473335,-99.202124
1296,0.96,32.4516444,-116.8728373
1571,0.96,14.682388,-92.148717
D362,0.96,19.37288,-99.176236
8909,0.96,23.7568972,-99.1429893
610,0.9550000000000001,16.9095275,-96.7268141
5400,0.9550000000000001,19.435796,-99.179238
B852,0.9550000000000001,25.421966,-101.001757
B620,0.9500000000000001,20.5283,-103.379
8081,0.9500000000000001,28.712885,-106.107183
8681,0.9500000000000001,19.479159,-99.186776
2792,0.9500000000000001,25.6852,-100.438
1789,0.95,22.2290481,-102.3210995
8158,0.95,27.9336452,-101.2258962
1212,0.95,18.6408227,-91.8383102
3557,0.95,19.3555,-99.1126
6901,0.95,19.4563,-99.1399
4291,0.95,22.899681,-109.888638
3261,0.95,19.0734219,-98.2110066
5140,0.95,19.652255,-99.19574
7942,0.95,18.860543,-97.063137
3867,0.95,22.140837,-100.923939
D004,0.95,20.677764,-103.43241
9455,0.95,17.594641,-99.17832
4229,0.95,19.31376182,-99.07667603
9751,0.95,19.451565,-99.217095
8148,0.95,25.6734,-100.27603
8392,0.95,19.261299,-98.878054
D392,0.95,20.709928,-100.456255
3375,0.95,14.89269691,-92.27228116
E261,0.95,20.687946,-103.297006
6048,0.945,25.858903,-99.941798
9267,0.9400000000000001,19.8075,-97.3662
8526,0.9400000000000001,19.2602783,-98.8950031
553,0.9400000000000001,19.4566394,-99.159805
4297,0.94,25.755897,-100.539646
E867,0.94,19.41455518,-99.15087794
489,0.94,22.9028039,-109.8462127
8297,0.935,19.5639,-96.9295
9371,0.935,21.038479,-105.247415
1299,0.935,30.6381955,-110.9571816
6795,0.935,19.591702,-99.178536
C886,0.935,20.65029,-103.703232
6281,0.935,25.756581,-102.982287
D350,0.9349999999999999,32.530189,-116.970708
2543,0.9349999999999999,22.778784,-102.613072
169,0.9349999999999999,21.2357634,-86.8039558
3810,0.93,32.287863,-115.104342
8286,0.93,20.59783262,-100.3128826
1276,0.93,19.290317,-99.654362
9588,0.93,28.739399,-106.129164
A914,0.93,28.668051,-106.0998506
5425,0.93,20.78653166,-101.3351261
5527,0.93,29.079127,-110.957854
4327,0.93,20.999477,-89.574153
1446,0.93,22.103813,-100.917525
A965,0.93,28.620126,-106.031854
D065,0.93,20.706317,-102.346017
9954,0.93,26.947734,-101.412768
8296,0.93,19.080271,-98.227224
9306,0.93,25.883323,-97.548109
5018,0.93,25.714267,-100.272222
1082,0.93,19.588893,-102.475019
3344,0.93,20.6143894,-100.3957967
8055,0.93,26.85766,-101.428429
D837,0.93,20.647934,-103.361246
4650,0.93,19.433576,-99.086487
6279,0.93,22.758536,-102.538512
7844,0.93,20.822047,-100.44194
3622,0.93,20.707931,-103.413247
5936,0.9299999999999999,19.468307,-99.144864
B662,0.9299999999999999,19.2122347,-96.20150338
D122,0.925,19.41681641,-99.14401191
738,0.925,17.5492093,-92.9531683
E027,0.925,20.630645,-103.266551
509,0.925,22.8749552,-109.9301135
D906,0.925,19.065472,-98.214699
8505,0.925,19.45483,-99.219143
8093,0.925,17.042785,-96.715702
E122,0.9249999999999999,20.568551,-100.375011
7770,0.9249999999999999,17.074147,-96.713318
B480,0.92,32.613276,-115.386214
9726,0.92,20.948281,-97.433233
622,0.92,24.027384,-104.656522
5213,0.92,19.7046,-103.483
4030,0.92,17.98619,-94.545472
3170,0.92,20.553866,-103.469913
9357,0.92,18.8974,-99.1672
5860,0.92,19.545712,-96.922424
E658,0.92,22.213609,-98.375061
8250,0.92,24.179,-110.302
E582,0.92,19.771738,-104.366285
E528,0.92,14.912586,-92.255484
D521,0.92,17.062856,-96.724909
E115,0.92,19.708811,-98.451054
8601,0.92,19.4391,-99.17569
9763,0.92,20.682618,-103.433951
6718,0.92,18.655815,-91.782382
4289,0.92,29.013911,-110.916574
4422,0.92,20.618865,-100.43966
4379,0.92,19.1291998,-98.215854
5839,0.92,28.738258,-106.132735
1273,0.9199999999999999,20.5438027,-97.4657516
D267,0.915,21.915172,-102.297166
2251,0.915,18.3506894,-99.5292823
6621,0.915,25.68172,-100.354883
4252,0.915,22.834373,-97.90344
5064,0.915,19.453273,-99.197653
1690,0.91,18.637639,-91.836445
C788,0.91,19.3173181,-99.6400552
4301,0.91,25.72355663,-100.2026274
8130,0.91,19.334202,-102.362606
6585,0.9099999999999999,20.72682,-103.367351
6517,0.9099999999999999,19.161132,-96.107539
8051,0.9099999999999999,19.152238,-98.223869
954,0.9099999999999999,19.832994,-90.54812
3934,0.9099999999999999,20.676108,-103.256369
6659,0.9099999999999999,19.294903,-99.177089
809,0.9099999999999999,19.43174936,-99.18266261
A547,0.9099999999999999,20.5166722,-86.9477841
9904,0.9099999999999999,19.518751,-99.25178
2664,0.905,20.6232,-103.286
9997,0.905,19.628768,-99.293032
5447,0.905,19.7208028,-99.4599125
2228,0.905,19.2235063,-99.3819452
B607,0.9,20.130759,-101.191019
E899,0.9,19.554912,-99.262955
A337,0.9,19.405715,-99.136407
5669,0.9,19.485494,-99.212182
2541,0.9,32.5085358,-117.0267581
C140,0.9,25.568208,-103.497998
6240,0.9,19.3006594,-99.2245237
A089,0.9,24.042703,-104.627727
9908,0.9,19.2781809,-103.7647668
3888,0.9,20.645249,-103.311724
1085,0.9,18.847676,-97.0922885
4226,0.9,19.9529132,-99.5412022
A661,0.9,21.915172,-102.297166
B695,0.9,19.38299,-99.268467
B851,0.9,25.421966,-101.001757
3744,0.9,19.702209,-101.205534
C237,0.9,19.2740287,-99.46061533
7629,0.8999999999999999,28.690494,-106.132525
8127,0.8999999999999999,26.0171403,-98.2131986
7042,0.8999999999999999,20.6115904,-87.0862047
D242,0.8999999999999999,25.595745,-103.404744
9524,0.8999999999999999,19.3765285,-99.5716185
2205,0.895,24.8471116,-98.1537814
6979,0.895,20.229151,-99.212536
3345,0.895,18.5282903,-88.295983
A568,0.895,19.501462,-99.158158
5558,0.895,25.884299,-97.499809
4956,0.895,20.6755427,-101.3722767
3358,0.89,19.2554726,-98.4167925
5053,0.89,16.860412,-99.873487
A446,0.89,19.655,-99.1187
E490,0.8899999999999999,20.202359,-104.049809
7250,0.8899999999999999,21.0532133,-99.8162592
D583,0.885,20.742473,-102.53604
3873,0.885,20.097349,-98.716709
6737,0.885,23.25905,-106.462579
B473,0.88,20.692252,-103.312373
A814,0.88,23.184743,-102.862565
E362,0.88,20.6679317,-99.8982132
6526,0.88,19.360773,-99.189823
381,0.88,22.3963153,-97.9321246
7371,0.88,19.435459,-99.168451
9559,0.88,21.108148,-86.763853
E109,0.88,20.6755427,-101.3722767
9356,0.88,19.394675,-99.174185
64,0.88,31.65873619,-106.3602214
7465,0.88,19.5252219,-99.2251377
1165,0.88,19.8599709,-100.8259318
E971,0.88,19.84047,-98.98019
4691,0.88,21.886761,-102.250349
8372,0.88,19.371793,-99.056772
7297,0.88,32.6353959,-115.4171599
4794,0.88,19.03432,-98.224083
1052,0.88,19.5211744,-99.2328344
6861,0.88,16.6991132,-93.7208767
6998,0.88,17.027164,-97.928484
2497,0.88,19.027221,-98.237303
2932,0.88,19.1218,-98.2538
851,0.88,19.368062,-99.156391
4951,0.875,28.622657,-106.115075
6084,0.875,19.431409,-99.147831
B420,0.875,25.538258,-103.445995
8978,0.875,18.844806,-99.684647
E633,0.875,19.702209,-101.205534
A185,0.875,18.25358222,-93.23224157
E634,0.875,19.702209,-101.205534
6949,0.875,19.25409813,-99.53008906
E287,0.875,21.1349,-86.7475
3187,0.87,32.4853377,-116.9438118
8975,0.87,19.044665,-98.199165
E315,0.87,24.035872,-104.652268
A427,0.87,25.760524,-100.207591
3915,0.87,19.627135,-99.081866
E292,0.87,25.641902,-100.273389
E667,0.87,19.588893,-102.475019
4268,0.87,18.617769,-99.324035
3024,0.87,14.912586,-92.255484
9380,0.87,32.473719,-116.992048
1819,0.87,20.928424,-103.022895
6456,0.87,19.2591997,-99.6629129
C510,0.87,27.00681,-109.43052
1818,0.87,19.84381068,-90.52464867
4784,0.87,28.6471392,-106.0993212
2546,0.87,22.1478,-102.27717
B137,0.87,20.64981,-103.401344
7409,0.87,19.83087376,-90.49779919
1235,0.865,19.370642,-96.369346
9826,0.865,25.659187,-100.35422
3590,0.865,17.07066,-96.723827
3595,0.865,20.707931,-103.413247
2833,0.865,25.84068945,-97.43572624
B606,0.865,21.874606,-102.311599
3373,0.865,20.9779946,-89.5832583
4535,0.8600000000000001,19.295898,-99.186808
6299,0.8600000000000001,21.123588,-101.680872
3790,0.8600000000000001,24.016553,-104.698839
B516,0.86,19.9556,-102.308189
D039,0.86,19.682715,-99.134904
C567,0.855,24.78091,-107.395296
41,0.855,19.4917802,-99.1897216
4487,0.855,18.546186,-99.606183
6087,0.855,20.645595,-105.219516
7403,0.855,19.5014046,-99.13464
D452,0.855,19.529932,-99.224275
3486,0.855,20.612705,-103.350509
E350,0.8500000000000001,16.25209086,-92.13464283
4263,0.8500000000000001,20.703827,-103.3468146
D369,0.8500000000000001,30.41533,-107.912319
6440,0.8500000000000001,19.4259054,-99.1666975
A441,0.8500000000000001,25.760524,-100.207591
6750,0.85,19.54133167,-99.03497655
7755,0.85,17.978,-102.213
B107,0.85,23.240057,-106.437744
E104,0.85,20.289567,-103.192997
3371,0.85,32.5310622,-117.0257553
9262,0.85,26.928104,-101.458175
5331,0.85,20.592692,-100.412686
E282,0.85,20.674717,-103.368281
1666,0.85,19.3580881,-99.124669
6081,0.85,19.28810302,-99.15640964
A125,0.85,32.201231,-114.996789
6228,0.85,20.962169,-89.619786
420,0.85,20.905467,-101.388551
7015,0.85,19.397402,-99.282858
B352,0.85,20.624941,-87.078897
7138,0.85,25.671211,-100.284258
2853,0.85,19.367546,-99.004838
7101,0.85,25.651427,-100.3353208
5029,0.85,19.378055,-99.14057
C707,0.85,20.11227,-98.751358
8678,0.85,18.6478,-91.8236
4521,0.85,24.789099,-107.444535
9349,0.85,19.071107,-98.157722
8466,0.85,24.77782934,-107.4088743
E880,0.85,29.320826,-100.932382
D909,0.85,19.242084,-103.726274
A863,0.85,16.7458062,-93.1167919
6298,0.85,16.8613,-99.8756
A784,0.85,19.907223,-99.340123
63,0.85,19.3779401,-99.1482732
8555,0.85,19.200132,-96.156256
A925,0.85,18.666753,-96.998274
5976,0.85,20.93183485,-101.4074571
7647,0.85,20.47504,-103.448742
9404,0.85,20.628104,-87.071158
6010,0.85,19.703022,-101.184149
C357,0.85,20.6755427,-101.3722767
7679,0.85,21.1766733,-105.1356422
8924,0.85,19.602238,-99.201323
C174,0.85,21.9432909,-100.0136735
4988,0.85,22.187447,-100.938546
6207,0.845,20.058219,-102.716237
B099,0.845,20.368663,-90.051237
E171,0.845,19.023394,-98.197531
9210,0.8400000000000001,27.8557,-101.113
D526,0.8400000000000001,18.49687,-88.29853
2210,0.8400000000000001,21.1216497,-101.6948654
D282,0.8400000000000001,20.59068882,-103.4441315
5616,0.8400000000000001,32.580325,-115.365622
3198,0.84,32.573419,-116.627307
7080,0.84,31.7425671,-106.4854467
2368,0.84,18.9629,-101.8090003
148,0.8350000000000001,19.4381205,-99.0794547
A816,0.835,19.387298,-99.25319
4124,0.835,21.01235,-101.8574392
7538,0.835,21.858466,-102.3165446
7169,0.835,25.88239,-97.50414
8893,0.8300000000000001,20.698403,-103.320554
E405,0.83,31.71258,-106.410123
B317,0.83,18.637431,-91.83535
335,0.83,19.405159,-99.239452
4486,0.83,18.546186,-99.606183
6644,0.83,21.8776099,-102.2999425
D640,0.83,18.907505,-98.435002
C569,0.83,23.236838,-106.420958
A167,0.83,19.3583684,-99.0898768
C672,0.83,20.949176,-89.649685
4904,0.83,22.150264,-100.958032
3860,0.83,22.1434607,-101.0164548
4317,0.83,19.716643,-101.229368
A364,0.83,19.594508,-99.038144
1317,0.83,19.47928,-99.16669
8095,0.83,19.2648236,-98.4162365
4740,0.83,19.027878,-98.234828
7658,0.83,28.6283284,-106.1241904
801,0.83,19.4478241,-99.206976
A647,0.83,20.008392,-98.820548
9875,0.83,30.527891,-115.931464
8709,0.83,23.163896,-102.872876
C507,0.83,25.65351,-100.17527
C850,0.83,17.056558,-96.730425
4356,0.83,21.879746,-102.260915
4998,0.83,19.703022,-101.184149
E659,0.83,26.825583,-109.6427
9215,0.83,19.628768,-99.293032
6967,0.83,15.687871,-93.208623
5124,0.83,20.733979,-105.315386
7216,0.83,19.2067427,-101.7098095
8841,0.83,26.859479,-105.849957
E627,0.83,19.9433219,-105.2463522
A930,0.83,19.311386,-98.923051
E325,0.83,27.476647,-99.507526
5103,0.83,19.26128,-98.877883
8068,0.83,25.458214,-100.95444
C084,0.83,24.0277698,-104.6523188
E352,0.83,20.9547722,-89.6475216
9755,0.83,19.851085,-97.497564
C283,0.83,21.1124,-86.8409
A528,0.83,25.595068,-103.4047639
7028,0.83,20.080191,-98.368635
5553,0.83,20.353981,-102.025099
2057,0.83,23.9404,-106.424444
9563,0.825,19.165425,-98.376901
D948,0.825,20.6199533,-87.09720677
4591,0.825,19.429339,-99.214362
5747,0.825,19.408213,-102.053335
3818,0.825,18.092202,-94.36024
7798,0.825,19.394675,-99.174185
8541,0.825,31.308106,-110.95267
E312,0.825,20.641249,-103.329982
4329,0.825,21.879746,-102.260915
E960,0.825,18.838325,-99.209051
E432,0.825,20.4530563,-101.5281471
5871,0.825,19.488977,-99.243856
3448,0.825,25.786682,-100.319644
640,0.8200000000000001,19.4031243,-99.158146
D251,0.8200000000000001,25.670648,-100.337543
B690,0.8200000000000001,21.858358,-102.315601
B421,0.82,25.554872,-103.501837
6036,0.82,20.7098455,-103.3607206
7589,0.82,31.7246122,-106.4425156
6221,0.82,20.578,-101.2
A097,0.82,28.630108,-106.098651
D069,0.82,20.692195,-103.414998
8535,0.82,19.58410463,-99.02341505
9618,0.82,18.927558,-99.238298
7095,0.82,20.703827,-103.3468146
3868,0.82,21.145856,-86.82145
E644,0.82,30.628888,-110.969017
6487,0.82,19.286382,-99.512155
6806,0.82,19.45969239,-99.12737568
6990,0.82,19.358313,-99.003783
9871,0.82,26.050087,-98.278657
4357,0.82,21.879746,-102.260915
D824,0.82,20.69743049,-101.3431519
9161,0.82,19.1631457,-96.1088384
C561,0.82,21.159772,-86.824933
E366,0.82,26.927226,-101.451263
B005,0.82,20.15186,-101.711995
A277,0.82,19.414318,-99.134601
3662,0.82,27.925625,-110.920117
796,0.82,31.332047,-109.560519
7389,0.82,25.515629,-103.391391
8025,0.82,19.611705,-99.026845
C725,0.82,21.141966,-88.150908
8362,0.82,20.583695,-101.187984
C305,0.82,19.958504,-104.271458
770,0.82,28.267569,-105.480955
4619,0.82,20.698234,-103.385923
833,0.82,19.513562,-98.881221
6721,0.82,18.8634,-97.0979
C179,0.82,20.218171,-104.163965
3593,0.82,20.2177,-87.4365
7993,0.82,25.515629,-103.391391
D970,0.82,21.868712,-102.294404
1016,0.82,19.276136,-99.6586
