,ATM,Latitud,Longitud,Tipo dispositivo,ETV
5,8,19.3838245,-99.0685271,PRACTDUAL,APODERADO
11,15,19.43582612,-99.18815405,PRACTDUAL,APODERADO
16,21,19.4701693,-99.1317148,PRACTDUAL,APODERADO
61,71,19.56226397,-99.2441124,PRACTDUAL,APODERADO
107,119,19.56226397,-99.2441124,PRACTDUAL,APODERADO
113,125,19.377239,-99.254516,PRACTDUAL,APODERADO
114,126,19.377239,-99.254516,PRACTDUAL,APODERADO
121,133,19.377239,-99.254516,PRACTDUAL,APODERADO
122,134,19.4410862,-99.0929879,PRACTDUAL,APODERADO
124,136,19.115964,-100.296861,PRACTDUAL,SEPSA
141,154,19.429702,-99.153698,PRACTDUAL,APODERADO
151,164,19.467957,-99.1449667,PRACTDUAL,APODERADO
171,184,17.880565,-92.483365,PRACTDUAL,APODERADO
181,194,20.0333426,-100.7198483,PRACTDUAL,APODERADO
191,204,19.48609441,-99.09342952,PRACTDUAL,APODERADO
192,205,20.7317105,-103.4222923,PRACTDUAL,APODERADO
195,208,23.6750789,-100.6292011,PRACTDUAL,APODERADO
196,209,20.613577,-100.387878,PRACTDUAL,APODERADO
226,242,20.7424008,-103.4119117,PRACTDUAL,APODERADO
227,243,18.9819542,-98.1981278,PRACTDUAL,APODERADO
231,247,19.289846,-99.163021,PRACTDUAL,APODERADO
240,256,19.467957,-99.1449667,PRACTDUAL,APODERADO
241,257,19.529932,-99.224275,PRACTDUAL,APODERADO
245,261,20.631402,-100.356341,PRACTDUAL,APODERADO
247,263,20.7424008,-103.4119117,PRACTDUAL,APODERADO
285,304,22.128445,-100.935734,PRACTDUAL,APODERADO
295,314,19.4413041,-99.197685,PRACTDUAL,APODERADO
311,330,32.5608041,-116.6471177,PRACTDUAL,APODERADO
322,341,19.43582612,-99.18815405,PRACTDUAL,APODERADO
336,356,19.4902886,-99.1313041,PRACTDUAL,APODERADO
338,359,19.4087097,-99.01821,PRACTDUAL,SEPSA
344,365,23.2342114,-106.4231804,PRACTDUAL,APODERADO
345,366,28.4029198,-106.8840763,PRACTDUAL,APODERADO
347,368,19.4902886,-99.1313041,PRACTDUAL,APODERADO
348,369,19.4902886,-99.1313041,PRACTDUAL,APODERADO
359,380,19.289846,-99.163021,PRACTDUAL,APODERADO
384,406,29.066133,-110.9640377,PRACTDUAL,APODERADO
385,407,19.4902886,-99.1313041,PRACTDUAL,APODERADO
390,412,19.60640997,-99.2284159,PRACTDUAL,SEPSA
391,413,19.3583684,-99.0898768,PRACTDUAL,APODERADO
401,424,19.4902886,-99.1313041,PRACTDUAL,APODERADO
403,426,19.35694,-99.275742,PRACTDUAL,APODERADO
405,428,19.60640997,-99.2284159,PRACTDUAL,SEPSA
407,430,19.60640997,-99.2284159,PRACTDUAL,SEPSA
418,441,19.466268,-99.110996,PRACTDUAL,APODERADO
421,444,20.703827,-103.3468146,PRACTDUAL,APODERADO
422,445,19.2670574,-99.1706324,PRACTDUAL,APODERADO
434,457,19.466268,-99.110996,PRACTDUAL,APODERADO
438,461,19.3591073,-99.2929969,PRACTDUAL,APODERADO
462,485,19.466268,-99.110996,PRACTDUAL,APODERADO
472,495,19.2878585,-99.6326394,PRACTDUAL,SEPSA
487,510,19.28954879,-99.55421476,PRACTDUAL,APODERADO
494,518,19.2773852,-98.9444149,PRACTDUAL,APODERADO
508,534,19.4282267,-99.1294019,PRACTDUAL,APODERADO
515,541,19.4282267,-99.1294019,PRACTDUAL,APODERADO
524,550,19.397129,-99.122923,PRACTDUAL,APODERADO
554,583,21.1322126,-101.6879933,PRACTDUAL,APODERADO
555,584,19.3054739,-99.2355293,PRACTDUAL,APODERADO
560,589,19.665029,-99.200619,PRACTDUAL,SEPSA
561,590,19.3054739,-99.2355293,PRACTDUAL,APODERADO
566,595,20.51964787,-100.8274239,PRACTDUAL,APODERADO
572,601,19.397129,-99.122923,PRACTDUAL,APODERADO
585,614,24.027384,-104.656522,PRACTDUAL,APODERADO
