ATM_ID,DURACION,Latitud,Longitud
7210,41.025,20.550032,-102.507542
6231,35.324999999999996,20.861002,-86.896133
1945,33.47,19.512346,-96.87726
4899,25.07,28.6281787,-106.0735934
9928,24.32,19.359094,-99.293156
C050,23.83,19.434547,-99.182182
3497,23.62,19.3069497,-99.2102282
8097,23.385,19.626859,-103.416748
A278,22.47,19.414318,-99.134601
8026,22.3,19.027878,-98.234828
5478,22.28,19.421754,-99.078002
A756,21.37,19.534069,-99.027197
D182,21.189999999999998,19.395903,-99.15505
B217,21.18,17.99061551,-93.3762046
2640,21.0,19.888456,-102.208295
7810,20.72,25.697215,-100.295121
9,20.15,19.81799492,-97.36094913
C222,19.78,19.695892,-101.189368
5941,19.2,19.297337,-99.152928
8664,19.119999999999997,16.793834,-96.67405
6851,19.07,16.6991132,-93.7208767
C271,19.03,20.6626,-101.348476
9428,19.025000000000002,19.058162,-98.130941
8586,18.975,19.288803,-98.4236
1087,18.95,21.886761,-102.250349
6412,18.65,19.47226733,-99.19247045
B553,18.63,22.153804,-100.977121
8358,18.35,20.684299,-103.389462
8970,18.3,19.360467,-99.14286
A263,18.240000000000002,19.297337,-99.152928
B819,18.03,20.612765,-103.350533
D531,18.0,22.249577,-97.840606
B896,17.95,20.750084,-103.420278
7500,17.93,16.73761505,-92.63894739
D382,17.72,25.6685,-100.244441
E879,17.48,20.645225,-103.31181
2554,17.37,19.378702,-99.058701
A962,17.18,20.68927,-105.249923
A295,17.05,19.351936,-99.106599
B034,16.98,16.833617,-99.811561
B727,16.73,17.9587322,-102.1955383
2609,16.6,25.6679126,-100.3120702
8450,16.55,24.85974444,-99.56732091
A354,16.33,19.697957,-98.979855
4787,16.1,19.3500027,-99.2229872
C775,16.07,25.041186,-105.419441
6819,16.05,19.975354,-102.288061
1817,16.0,18.642813,-91.821612
4388,15.98,19.42109249,-99.09504424
4977,15.82,18.502296,-98.753774
B080,15.62,20.952805,-97.405277
E619,15.62,25.8653769,-97.5323448
E986,15.610000000000001,19.3465633,-99.188309
5362,15.525,19.5191624,-99.1630429
9352,15.48,19.703022,-101.184149
E159,15.364999999999998,25.555414,-103.439102
6698,15.35,19.377291,-99.122327
E209,15.315,19.315792,-99.073301
E588,15.3,20.4217868,-103.5920753
C643,15.25,26.927273,-101.451363
D730,15.25,16.76204,-93.139645
E578,15.22,19.289986,-99.622545
A636,15.05,25.670648,-100.337543
4549,15.02,27.476647,-99.507526
9068,14.92,19.3036803,-99.1902066
E031,14.87,20.661378,-103.28761
8475,14.690000000000001,25.92716101,-100.3787783
C933,14.68,25.6746,-100.459
308,14.63,19.26665238,-99.529283
9348,14.56,20.596656,-100.402172
C741,14.55,16.720317,-92.642271
D080,14.545,19.59488485,-99.03853527
7560,14.52,21.9308333,-102.3053921
1781,14.45,19.45235,-99.219604
135,14.335,19.372805,-99.140557
9582,14.33,20.9167446,-89.7041557
A708,14.27,19.479159,-99.186776
826,14.22,19.368062,-99.156391
7071,14.2,17.537579,-101.275164
D247,14.15,19.39850892,-99.11152132
B384,14.135000000000002,19.321032,-98.235317
935,14.12,19.3670774,-99.1659708
D457,14.04,19.315851,-99.077089
A367,13.940000000000001,19.49372203,-99.1594132
9534,13.93,16.7204139,-92.6420784
5183,13.9,19.296269,-98.880397
A047,13.9,31.324559,-110.945219
B734,13.88,20.649024,-100.433176
3962,13.88,19.503742,-99.15605
2559,13.879999999999999,19.41681641,-99.14401191
D290,13.835,19.396449,-99.281299
B191,13.82,19.665287,-99.080406
A764,13.78,20.641413,-87.087934
9141,13.77,20.43097,-102.76655
7918,13.77,20.634077,-105.230423
B706,13.75,20.6657294,-103.4033369
D045,13.7,19.378988,-99.158493
4721,13.605,19.315547,-99.241426
2535,13.595,16.21495225,-95.17849092
8651,13.53,19.559382,-99.2031
4175,13.52,19.9556,-102.308189
1511,13.5,20.9670361,-89.5904866
B212,13.45,19.431902,-99.156102
A221,13.43,19.400958,-99.13272
3514,13.425,25.515629,-103.391391
E934,13.4,19.237738,-104.557163
4984,13.345,16.23599846,-93.26693889
3396,13.33,21.0181028,-89.5842431
6349,13.32,16.748703,-93.081009
E465,13.3,19.691414,-103.4678996
D067,13.3,19.405715,-99.136407
8833,13.3,24.149995,-110.307413
5481,13.275,25.766505,-100.304534
8671,13.27,19.289846,-99.163021
9754,13.27,19.851085,-97.497564
9975,13.27,19.4701693,-99.1317148
D592,13.23,19.358816,-99.276137
7188,13.22,19.0021629,-98.2168496
5190,13.22,19.423689,-99.153458
D428,13.2,21.510635,-104.892416
7306,13.2,18.9413,-99.218369
3041,13.2,21.2374381,-104.9007959
E945,13.18,19.337902,-99.1099
C811,13.18,25.704356,-100.339695
5452,13.175,19.79877,-99.097808
D013,13.17,19.703194,-101.184112
3185,13.17,32.527257,-117.035769
7385,13.17,19.6487755,-99.2075699
8516,13.15,19.62477128,-99.31655016
8649,13.15,19.3845434,-99.0789101
A620,13.145,17.995715,-92.927811
7293,13.08,18.936176,-99.246456
C303,13.07,19.06119,-98.305906
C517,13.045,19.131768,-98.267129
4791,13.04,19.702602,-101.171311
3404,13.02,21.0679044,-89.6445672
B912,13.02,19.678727,-101.22052
E808,13.0,19.345712,-99.179294
6418,12.97,16.754009,-93.176201
8939,12.97,19.4875562,-99.2600231
D422,12.95,19.44800915,-99.2071225
6908,12.93,25.648177,-100.358933
616,12.905,19.397129,-99.122923
3937,12.9,19.361844,-99.19687
D840,12.9,20.637249,-103.351514
D853,12.9,25.573233,-103.418212
E726,12.9,22.217153,-97.857465
8517,12.885,19.6474,-102.050189
7597,12.87,20.9771788,-89.59629155
8658,12.81,19.337902,-99.1099
A259,12.8,19.408957,-99.172386
A339,12.78,19.41884,-99.266619
E396,12.78,16.720317,-92.642271
6668,12.78,17.9745616,-92.9274171
9112,12.75,19.448276,-99.20738
8185,12.7,16.25209086,-92.13464283
8795,12.7,18.55548,-99.606439
5484,12.685,25.743288,-100.313327
3074,12.68,19.426892,-99.204333
E326,12.64,21.4877196,-104.8314933
D854,12.63,25.577925,-103.418208
7223,12.62,19.2067427,-101.7098095
D728,12.62,18.893503,-96.933397
A763,12.6,20.641413,-87.087934
9823,12.58,20.629816,-103.375257
E779,12.57,17.9752425,-92.9532855
8272,12.57,25.682454,-100.297791
