ATM,Sitio,CR,Division,Marca,Tipo dispositivo,Estatus dispositivo,Calle,Num. Ext.,Estado,Ciudad,CP,Del/Muni,Colonia,Latitud,Longitud,Tipo localidad,IDC,ETV
2,LOMAS DE BEZARES,3536,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,PASEO DE LAS LILAS,92,DISTRITO FEDERAL,CIUDAD DE MEXICO,11700,MIGUEL HIDALGO,LOMAS DE BEZARES,19.388584,-99.2479053,SUC,DIEBOLD,APODERADO
4,PALACIO MUNICIPAL DE CULIAC�N,6062,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,ALVARO OBREGON,SN,SINALOA,CULIACAN ROSALES,80000,CULIACAN,CENTRO,24.807033,-107.394186,REM,DIEBOLD,SEPSA
5,DIF ECATEPEC,6062,METROPOLITANA NORTE,GRG,DISPENSADOR,ACTIVO,AV 20 DE NOVIEMBRE,SN,ESTADO DE MEXICO,ECATEPEC DE MORELOS,55028,ECATEPEC DE MORELOS,VISTA HERMOSA,19.54931091,-99.0170746,REM,GRG,SEPSA
6,IMSS POZA RICA,6062,SUR,DIEBOLD,DISPENSADOR,ACTIVO,REFORMA Y NARANJOS,SN,VERACRUZ,POZA RICA DE HIDALGO,93260,POZA RICA DE HIDALGO,CENTRO,21.3413519,-97.681943,REM,DIEBOLD,SEPSA
7,HOSPITAL CENTRAL DR IGNACIO MORONES PRIETO,6062,BAJIO,GRG,DISPENSADOR,ACTIVO,AV VENUSTIANO CARRANZA,SN,SAN LUIS POTOSI,SAN LUIS POTOSI,78290,SAN LUIS POTOSI,UNIVERSITARIA,22.1497818,-101.0004916,REM,GRG,SEPSA
8,PLAZA TEZONTLE,5282,METROPOLITANA SUR,NCR,PRACTDUAL,ACTIVO,AV CANAL DE TEZONTLE,1512,DISTRITO FEDERAL,CIUDAD DE MEXICO,9020,IZTAPALAPA,ALFONSO ORTIZ TIRADO,19.3838245,-99.0685271,SUC,NCR,APODERADO
9,MUNICIPIO DE TEZIUTLAN PUEBLA,6062,SUR,GRG,DISPENSADOR,ACTIVO,PALACIO MUNICIPAL SEGUNDO PISO,SN,PUEBLA,TEZIUTLAN,73800,TEZIUTLAN,TEZIUTL�N CENTRO,19.81799492,-97.36094913,REM,GRG,SEPSA
10,UNITEC CUITLAHUAC,6062,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,PONIENTE 44,3410,DISTRITO FEDERAL,CIUDAD DE MEXICO,2870,AZCAPOTZALCO,SAN SALVADOR XOCHIMANCA,19.4601172,-99.1748712,REM,DIEBOLD,SEPSA
11,LA RUMOROSA,6062,NOROESTE,DIEBOLD,DISPENSADOR,ACTIVO,CTRA FEDERAL MEXICALI TECATE,2448,BAJA CALIFORNIA,TECATE,21510,TECATE,LA RUMOROSA,32.5318,-116.0826429,REM,DIEBOLD,SEPSA
12,UNITEC MARINA,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,MARINA NACIONAL,162,DISTRITO FEDERAL,CIUDAD DE MEXICO,11320,MIGUEL HIDALGO,ANAHUAC I SECCION,19.4479406,-99.1808453,REM,DIEBOLD,SEPSA
14,D.F. XOCHIMILCO CENTRO,3569,METROPOLITANA SUR,GRG,DISPENSADOR,ACTIVO,AV JOSE MA. MORELOS,53,DISTRITO FEDERAL,CIUDAD DE MEXICO,16070,XOCHIMILCO,BARRIO EL ROSARIO,19.261735,-99.104917,SUC,GRG,APODERADO
15,HEGEL,17,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,HEGEL,155 LOCAL B,DISTRITO FEDERAL,CIUDAD DE MEXICO,11560,MIGUEL HIDALGO,CHAPULTEPEC MORALES,19.43582612,-99.18815405,SUC,WINCOR,APODERADO
16,PERIODICO REFORMA,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,AV COYOACAN,40 19,DISTRITO FEDERAL,CIUDAD DE MEXICO,3310,BENITO JUAREZ,SANTA CRUZ ATOYAC,19.3986774,-99.1674761,REM,DIEBOLD,SEPSA
18,VILLA COAPA,50,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,AV CANAL DE MIRAMONTES,7620,DISTRITO FEDERAL,CIUDAD DE MEXICO,14390,TLALPAN,RESIDENCIAL VILLA COAPA,19.2917326,-99.124906,SUC,DIEBOLD,APODERADO
19,SERVICIOS DE SALUD TAMAULIPAS,6062,NORESTE,DIEBOLD,DISPENSADOR,ACTIVO,JUAN B TIJERINA PALACIO FEDERA,SN,TAMAULIPAS,CIUDAD VICTORIA,87000,VICTORIA,CIUDAD VICTORIA CENTRO,23.732404,-99.1439387,REM,DIEBOLD,SEPSA
20,LA RAZA,4634,METROPOLITANA NORTE,DIEBOLD,DISPENSADOR,ACTIVO,AV VALLEJO,294,DISTRITO FEDERAL,CIUDAD DE MEXICO,2960,AZCAPOTZALCO,SAN FRANCISCO XOCOTITLA,19.467957,-99.1449667,SUC,DIEBOLD,APODERADO
21,ROBLES DOMINGUEZ,3651,METROPOLITANA NORTE,WINCOR,PRACTDUAL,ACTIVO,REAL DEL MONTE,5,DISTRITO FEDERAL,CIUDAD DE MEXICO,7800,GUSTAVO A MADERO,INDUSTRIAL,19.4701693,-99.1317148,SUC,WINCOR,APODERADO
23,COLEGIO HEBREO,6062,METROPOLITANA SUR,DIEBOLD,DISPENSADOR,ACTIVO,ANTIGUO CAM TECAMACHALCO,370,DISTRITO FEDERAL,CIUDAD DE MEXICO,5100,CUAJIMALPA DE MORELOS,LOMAS DE VISTA HERMOS,19.3782188,-99.2772888,REM,DIEBOLD,SEPSA
